Source,Target
44196397,38271276
44196397,11417802
44196397,728409566338146000
44196397,895332160130891000
44196397,276540738
44196397,38271276
44196397,11417802
44196397,728409566338146000
44196397,895332160130891000
44196397,276540738
44196397,38271276
44196397,11417802
44196397,728409566338146000
44196397,895332160130891000
44196397,276540738
44196397,38271276
44196397,11417802
44196397,728409566338146000
44196397,895332160130891000
44196397,276540738
44196397,38271276
44196397,11417802
44196397,728409566338146000
44196397,895332160130891000
44196397,276540738
44196397,38271276
44196397,11417802
44196397,728409566338146000
44196397,895332160130891000
44196397,276540738
44196397,38271276
44196397,11417802
44196397,728409566338146000
44196397,895332160130891000
44196397,276540738
44196397,38271276
44196397,11417802
44196397,728409566338146000
44196397,895332160130891000
44196397,276540738
44196397,38271276
44196397,11417802
44196397,728409566338146000
44196397,895332160130891000
44196397,276540738
44196397,38271276
44196397,11417802
44196397,728409566338146000
44196397,895332160130891000
44196397,276540738
1381287186528660000,44196397
1381287186528660000,1327298928690250000
1381287186528660000,894748894789115000
1381287186528660000,58287890
1381287186528660000,1673297485
1504100138259650000,44196397
1504100138259650000,275198351
1504100138259650000,1271518687737130000
1504100138259650000,1424015225708290000
1504100138259650000,22798877
139202687,44196397
139202687,991174051145113000
139202687,2705431680
139202687,1246502336983370000
139202687,966868662085922000
824273520121315000,44196397
824273520121315000,15717766
824273520121315000,1385007985701830000
824273520121315000,3827830753
824273520121315000,335060282
35385380,44196397
35385380,1276739860364160000
35385380,1046548502422190000
35385380,2747475893
35385380,1486976250837140000
964497663382212000,44196397
964497663382212000,17585653
964497663382212000,1511766358647870000
964497663382212000,1510394708027090000
964497663382212000,1508195966553400000
53487707,44196397
53487707,1229454470318290000
53487707,1352770555020230000
53487707,231809215
53487707,77277491
860011326,44196397
860011326,1374968033265860000
860011326,923231030160400000
860011326,846038308014755000
860011326,1138396700
448759064,44196397
448759064,1483930779759660000
448759064,739416211
448759064,785584050
448759064,1169691558792310000
1520807093368130000,44196397
1520807093368130000,1671949686
1520807093368130000,80323736
1520807093368130000,948505518535991000
1520807093368130000,178940322
1455958870917060000,44196397
1455958870917060000,1172971086843190000
1455958870917060000,1504501898258260000
1527631807730030000,44196397
1527631807730030000,361289499
1527631807730030000,385562752
1527631807730030000,3429950987
1527631807730030000,1333467482
1527632804367970000,44196397
1527632764631230000,2557521
1527632764631230000,44196397
1527628125022330000,44196397
1527632360774190000,44196397
1527632360774190000,278020879
1527632360774190000,199743355
1527632360774190000,3342510514
1527632360774190000,373909732
1527632360774190000,44196397
1527632360774190000,278020879
1527632360774190000,199743355
1527632360774190000,3342510514
1527632360774190000,373909732
1527632643839380000,44196397
1527632643839380000,44196397
1527632794280940000,44196397
1527632794280940000,335141638
1527632794280940000,1409798257
1527632794280940000,44196397
1527632794280940000,335141638
1527632794280940000,1409798257
1522786275224390000,50393960
1522786275224390000,44196397
1522786275224390000,1330672973443960000
1522786275224390000,223550648
1527632593616780000,34743251
1527632593616780000,11525172
1527632593616780000,44196397
1527636362132060000,1326197612404330000
1527636362132060000,1383669896303620000
1527636362132060000,198975780
1527636362132060000,44196397
1527636606240300000,44196397
1527636606240300000,765245597188227000
1527636188768750000,44196397
1527636188768750000,231579149
1527636188768750000,1252566042699800000
1527634791276890000,44196397
1527634791276890000,20536157
1527634791276890000,15506669
1527634791276890000,1134582624
1527634791276890000,1519403534235620000
1527636204908310000,44196397
1527636204908310000,713993413
1527635409370590000,280121510
1527635409370590000,291734275
1527635409370590000,28785486
1527635409370590000,16573941
1527635409370590000,1367531
1527635409370590000,280121510
1527635409370590000,291734275
1527635409370590000,28785486
1527635409370590000,16573941
1527635409370590000,1367531
1527640245059080000,44196397
1527639757400020000,128372940
1527639757400020000,231579149
1527639757400020000,1333121140642990000
1527639757400020000,44196397
1527639376322230000,742143
1527639376322230000,963938472
1527639376322230000,1349149096909660000
1527639376322230000,3310238405
1527639376322230000,14499829
1527640380778460000,44196397
1527640223206740000,3390937060
1527640223206740000,785861451235885000
1527640223206740000,2341888057
1527640223206740000,3398860367
1527640223206740000,44196397
1527640155972150000,11525172
1527640155972150000,44196397
1527640150762830000,44196397
1527639846403050000,4012126155
1527639846403050000,10671602
1527639846403050000,1120633726478820000
1527639846403050000,44196397
1527639705893730000,1346439824
1527639705893730000,2177366923
1527639705893730000,13298072
1527639705893730000,50393960
1527639705893730000,786424290791096000
1527640367348290000,44196397
1527639743248350000,35094637
1527639743248350000,2455740283
1527639743248350000,268439864
1527639743248350000,44196397
1527639743248350000,240884573
1527639743248350000,35094637
1527639743248350000,2455740283
1527639743248350000,268439864
1527639743248350000,44196397
1527639743248350000,240884573
1527642042901350000,57556007
1527642042901350000,447895686
1527642042901350000,73672445
1527642042901350000,760029905006592000
1527642042901350000,3026140439
1527642042901350000,57556007
1527642042901350000,447895686
1527642042901350000,73672445
1527642042901350000,3026140439
1527642042901350000,312762502
1527643014683930000,44196397
1527643014683930000,1052160384457720000
1527643014683930000,1269132220725410000
1527643014683930000,996365064667123000
1527643014683930000,1289076141798620000
